y_ear,C_ountry
2/10/1957,Sudan
2/16/1957,Sudan
5/22/1959,Egypt
5/25/1959,Egypt
5/29/1959,Egypt
1/14/1962,Ethiopia
1/18/1962,Ethiopia
1/20/1962,Ethiopia
1/21/1962,Ethiopia
11/24/1963,Ghana
11/26/1963,Ghana
11/28/1963,Ghana
11/30/1963,Ghana
12/1/1963,Ghana
11/12/1965,Tunisia
11/14/1965,Tunisia
11/19/1965,Tunisia
11/21/1965,Tunisia
1/12/1968,Ethiopia
1/14/1968,Ethiopia
1/16/1968,Ethiopia
1/19/1968,Ethiopia
1/21/1968,Ethiopia
2/6/1970,Sudan
2/7/1970,Sudan
2/8/1970,Sudan
2/9/1970,Sudan
2/10/1970,Sudan
2/11/1970,Sudan
2/14/1970,Sudan
2/16/1970,Sudan
2/23/1972,Cameroon
2/24/1972,Cameroon
2/25/1972,Cameroon
2/26/1972,Cameroon
2/27/1972,Cameroon
2/28/1972,Cameroon
2/29/1972,Cameroon
3/2/1972,Cameroon
3/4/1972,Cameroon
3/5/1972,Cameroon
3/1/1974,Egypt
3/2/1974,Egypt
3/3/1974,Egypt
3/4/1974,Egypt
3/5/1974,Egypt
3/6/1974,Egypt
3/7/1974,Egypt
3/9/1974,Egypt
3/11/1974,Egypt
3/12/1974,Egypt
3/14/1974,Egypt
2/29/1976,Ethiopia
3/1/1976,Ethiopia
3/3/1976,Ethiopia
3/4/1976,Ethiopia
3/5/1976,Ethiopia
3/6/1976,Ethiopia
3/9/1976,Ethiopia
3/11/1976,Ethiopia
3/14/1976,Ethiopia
3/5/1978,Ghana
3/6/1978,Ghana
3/8/1978,Ghana
3/9/1978,Ghana
3/10/1978,Ghana
3/11/1978,Ghana
3/14/1978,Ghana
3/16/1978,Ghana
3/8/1980,Nigeria
3/9/1980,Nigeria
3/12/1980,Nigeria
3/13/1980,Nigeria
3/15/1980,Nigeria
3/16/1980,Nigeria
3/19/1980,Nigeria
3/21/1980,Nigeria
3/22/1980,Nigeria
3/5/1982,Libya
3/7/1982,Libya
3/9/1982,Libya
3/10/1982,Libya
3/12/1982,Libya
3/13/1982,Libya
3/16/1982,Libya
3/18/1982,Libya
3/19/1982,Libya
3/4/1984,Ivory Coast
3/5/1984,Ivory Coast
3/7/1984,Ivory Coast
3/8/1984,Ivory Coast
3/10/1984,Ivory Coast
3/11/1984,Ivory Coast
3/14/1984,Ivory Coast
3/17/1984,Ivory Coast
3/18/1984,Ivory Coast
3/7/1986,Egypt
3/8/1986,Egypt
3/10/1986,Egypt
3/11/1986,Egypt
3/13/1986,Egypt
3/14/1986,Egypt
3/17/1986,Egypt
3/20/1986,Egypt
3/21/1986,Egypt
3/13/1988,Morocco
3/14/1988,Morocco
3/16/1988,Morocco
3/17/1988,Morocco
3/19/1988,Morocco
3/20/1988,Morocco
3/23/1988,Morocco
3/26/1988,Morocco
3/27/1988,Morocco
3/2/1990,Algeria
3/3/1990,Algeria
3/5/1990,Algeria
3/6/1990,Algeria
3/8/1990,Algeria
3/9/1990,Algeria
3/12/1990,Algeria
3/15/1990,Algeria
3/16/1990,Algeria
1/12/1992,Senegal
1/13/1992,Senegal
1/14/1992,Senegal
1/15/1992,Senegal
1/16/1992,Senegal
1/17/1992,Senegal
1/19/1992,Senegal
1/20/1992,Senegal
1/23/1992,Senegal
1/25/1992,Senegal
1/26/1992,Senegal
3/26/1994,Tunisia
3/27/1994,Tunisia
3/28/1994,Tunisia
3/29/1994,Tunisia
3/30/1994,Tunisia
3/31/1994,Tunisia
4/2/1994,Tunisia
4/3/1994,Tunisia
4/6/1994,Tunisia
4/10/1994,Tunisia
1/13/1996,South Africa
1/14/1996,South Africa
1/15/1996,South Africa
1/16/1996,South Africa
1/18/1996,South Africa
1/19/1996,South Africa
1/20/1996,South Africa
1/21/1996,South Africa
1/24/1996,South Africa
1/25/1996,South Africa
1/27/1996,South Africa
1/28/1996,South Africa
1/31/1996,South Africa
2/3/1996,South Africa
2/7/1998,Burkina Faso
2/8/1998,Burkina Faso
2/9/1998,Burkina Faso
2/10/1998,Burkina Faso
2/11/1998,Burkina Faso
2/12/1998,Burkina Faso
2/13/1998,Burkina Faso
2/15/1998,Burkina Faso
2/16/1998,Burkina Faso
2/17/1998,Burkina Faso
2/20/1998,Burkina Faso
2/21/1998,Burkina Faso
2/22/1998,Burkina Faso
2/25/1998,Burkina Faso
2/27/1998,Burkina Faso
2/28/1998,Burkina Faso
1/22/2000,Ghana
1/23/2000,Nigeria
1/23/2000,Ghana
1/24/2000,Ghana
1/25/2000,Nigeria
1/27/2000,Ghana
1/28/2000,Nigeria
1/28/2000,Ghana
1/29/2000,Nigeria
1/29/2000,Ghana
1/31/2000,Ghana
2/1/2000,Nigeria
2/2/2000,Ghana
2/3/2000,Nigeria
2/6/2000,Ghana
2/7/2000,Nigeria
2/10/2000,Ghana
2/10/2000,Nigeria
2/12/2000,Ghana
2/13/2000,Nigeria
1/19/2002,Mali
1/20/2002,Mali
1/21/2002,Mali
1/24/2002,Mali
1/25/2002,Mali
1/26/2002,Mali
1/28/2002,Mali
1/29/2002,Mali
1/30/2002,Mali
1/31/2002,Mali
2/3/2002,Mali
2/4/2002,Mali
2/7/2002,Mali
2/9/2002,Mali
2/10/2002,Mali
1/24/2004,Tunisia
1/25/2004,Tunisia
1/26/2004,Tunisia
1/27/2004,Tunisia
1/28/2004,Tunisia
1/29/2004,Tunisia
1/30/2004,Tunisia
1/31/2004,Tunisia
2/1/2004,Tunisia
2/2/2004,Tunisia
2/3/2004,Tunisia
2/4/2004,Tunisia
2/7/2004,Tunisia
2/8/2004,Tunisia
2/11/2004,Tunisia
2/13/2004,Tunisia
2/14/2004,Tunisia
1/20/2006,Egypt
1/21/2006,Egypt
1/22/2006,Egypt
1/23/2006,Egypt
1/24/2006,Egypt
1/25/2006,Egypt
1/26/2006,Egypt
1/27/2006,Egypt
1/28/2006,Egypt
1/29/2006,Egypt
1/30/2006,Egypt
1/31/2006,Egypt
2/3/2006,Egypt
2/4/2006,Egypt
2/7/2006,Egypt
2/9/2006,Egypt
2/10/2006,Egypt
1/20/2008,Ghana
1/21/2008,Ghana
1/22/2008,Ghana
1/23/2008,Ghana
1/24/2008,Ghana
1/25/2008,Ghana
1/26/2008,Ghana
1/27/2008,Ghana
1/28/2008,Ghana
1/29/2008,Ghana
